time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/05/01 22:00:00.636961 ,136,375457,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,32.34,101.19,41.25,0.00,0.00,13.96,15.03,14.09,14.89,15.96,16.64,17.04,17.04,16.64,14.49,18.12,17.44,16.37,16.23,16.23,16.23,15.70,14.22,15.96,17.17,17.44,17.44,17.71,17.85,16.37,17.85,16.77,16.10,15.96,15.70,15.83,15.56,16.77,17.44,17.58,18.12,15.03,16.37,16.10,280.88,279.79,280.22,280.22,280.01,280.01,280.01,280.01,280.44
2021/05/01 22:00:02.104087 ,0,375459,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,30.63,101.24,40.52,0.00,0.00,14.09,15.56,14.22,14.89,15.96,16.37,16.91,16.91,16.77,14.36,17.98,17.58,16.64,16.37,16.10,15.96,15.96,14.09,15.43,17.04,17.71,17.71,17.85,17.71,16.64,17.85,16.77,15.96,15.83,15.83,15.83,15.56,16.77,17.31,17.71,18.25,15.16,16.37,15.83,280.44,280.01,279.57,279.79,280.01,280.22,280.22,279.79,280.01
2021/05/01 22:00:03.638716 ,144,375460,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,31.12,101.33,40.28,0.00,0.00,14.09,15.70,14.22,14.76,15.83,16.77,17.17,17.17,16.77,14.63,18.25,17.31,16.23,16.23,16.37,16.23,15.83,14.22,15.96,17.04,17.31,17.44,17.85,17.71,16.50,17.85,16.64,15.96,15.83,15.83,15.96,15.56,16.91,17.58,17.31,17.98,14.76,16.37,16.23,281.10,280.01,280.44,280.22,280.01,280.01,280.01,280.22,280.22
2021/05/01 22:00:05.073392 ,0,375462,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,31.73,101.22,42.47,0.00,0.00,14.22,15.83,14.22,14.63,15.83,16.64,17.17,17.17,16.64,14.63,18.25,17.44,16.37,16.23,16.23,16.10,15.96,14.22,15.70,17.04,17.58,17.71,17.98,17.98,16.77,17.98,16.50,15.70,15.70,15.96,16.23,15.70,16.91,17.71,17.71,17.98,15.03,16.37,16.10,280.66,280.22,280.22,279.79,279.79,280.22,280.22,280.44,280.22
2021/05/01 22:00:06.656618 ,160,375463,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,30.51,101.30,40.03,0.00,0.00,14.22,15.56,14.09,14.63,15.83,16.77,17.31,17.04,16.91,14.76,18.12,17.31,16.37,16.37,16.23,16.23,15.96,14.22,15.70,17.04,17.58,17.58,17.85,17.71,16.77,17.85,16.64,15.70,16.10,15.96,16.10,15.43,17.17,17.58,17.58,17.85,14.89,16.50,16.23,280.66,280.22,280.22,280.01,279.79,280.22,280.22,280.01,280.01
2021/05/01 22:00:07.997054 ,0,375465,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,32.10,101.24,41.50,0.00,0.00,14.09,15.56,14.09,14.89,15.83,16.77,17.17,17.17,16.64,14.63,18.39,17.58,16.37,16.23,16.23,16.23,15.70,13.96,15.96,17.31,17.44,17.44,17.71,17.71,16.50,17.85,16.64,15.83,15.70,15.83,15.96,15.56,16.91,17.58,17.71,17.98,14.89,16.37,16.23,281.10,280.01,280.22,280.22,280.01,280.01,280.01,280.01,280.22
2021/05/01 22:00:09.662860 ,160,375466,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,30.63,101.22,40.52,0.00,0.00,14.22,15.56,14.09,14.89,15.96,16.64,17.04,17.04,16.77,14.49,17.98,17.44,16.64,16.50,16.23,15.43,16.10,14.09,15.70,17.04,17.58,17.85,17.98,17.71,16.77,17.98,16.64,15.83,15.29,15.83,15.96,15.56,16.91,17.31,17.58,18.12,15.16,16.50,15.96,280.44,280.22,278.91,279.57,279.79,280.44,280.44,280.01,280.01
2021/05/01 22:00:10.984036 ,0,375468,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,32.71,101.24,42.11,0.00,0.00,14.09,15.43,14.09,14.89,15.96,16.77,16.91,16.91,16.64,14.36,17.98,17.44,16.64,16.50,16.10,15.96,15.96,14.09,15.70,17.17,17.44,17.44,17.98,17.85,16.50,17.85,16.91,15.96,15.70,15.70,15.83,15.70,16.77,17.44,17.71,18.39,15.03,16.37,16.10,280.88,280.22,280.22,280.01,279.79,280.22,280.44,280.22,280.22
2021/05/01 22:00:12.669734 ,168,375469,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,32.10,101.22,42.60,0.00,0.00,14.22,15.83,14.22,15.03,15.70,16.64,17.31,17.44,16.64,14.63,18.39,17.44,16.37,16.10,16.23,16.10,15.96,14.22,15.70,17.04,17.58,17.71,17.98,17.71,16.77,17.98,16.64,15.70,15.70,15.96,16.23,15.70,17.04,17.71,17.58,17.85,14.76,16.50,16.10,280.66,280.01,280.22,280.01,280.01,280.22,280.44,280.01,280.01
2021/05/01 22:00:14.105792 ,0,375471,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,31.37,101.24,39.91,0.00,0.00,14.09,15.56,14.09,14.76,15.96,16.77,16.91,16.91,16.77,14.49,17.98,17.31,16.50,16.50,16.23,15.96,16.10,14.09,15.70,17.17,17.58,17.58,17.71,17.85,16.50,17.85,16.77,16.10,15.83,15.29,15.83,15.56,17.04,17.31,17.58,18.25,15.03,16.37,15.96,280.88,280.01,280.22,279.13,280.01,280.01,280.22,280.44,280.44
