time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/05/25 16:00:00.944933 ,0,359731,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,37.59,102.15,45.28,0.00,0.00,-37.75,-37.99,-35.95,-35.95,-35.47,-33.78,-33.54,-36.19,-35.95,-36.07,-36.07,-35.23,-42.74,-47.69,-48.50,-47.69,-36.19,-36.07,-35.83,-34.75,-32.94,-31.61,-33.54,-18.82,-21.43,-2.97,-13.30,-43.22,-47.10,-48.62,-44.04,-35.83,-34.75,-34.63,-33.18,-34.75,-33.54,-34.99,-33.42,281.32,280.66,-18.32,11.03,6.80,280.88,280.66,280.66,280.66
2021/05/25 16:00:02.534193 ,181,359732,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,37.96,102.09,47.60,0.00,0.00,-37.63,-37.87,-35.95,-35.95,-35.59,-33.78,-33.42,-35.95,-36.07,-35.95,-35.95,-35.11,-42.74,-47.92,-48.62,-47.69,-36.07,-36.19,-35.95,-34.63,-32.58,-31.48,-33.42,-18.95,-21.18,-2.85,-13.68,-43.34,-47.22,-48.62,-43.93,-35.71,-34.75,-34.27,-33.18,-34.75,-33.66,-35.11,-33.42,281.76,280.44,-18.20,11.16,6.93,280.66,280.22,280.44,280.66
2021/05/25 16:00:04.025227 ,0,359734,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,36.86,102.15,45.28,0.00,0.00,-37.87,-38.23,-35.95,-35.95,-35.47,-33.90,-33.54,-36.19,-35.83,-36.07,-36.19,-35.11,-42.86,-47.69,-48.50,-47.45,-36.43,-36.07,-35.83,-34.75,-32.70,-31.85,-33.18,-18.95,-21.18,-2.97,-13.30,-43.34,-47.34,-48.74,-44.04,-35.71,-34.99,-34.39,-33.30,-34.87,-33.54,-34.99,-33.42,281.10,280.88,-18.32,11.03,6.66,280.44,280.44,280.66,281.10
2021/05/25 16:00:05.494320 ,181,359735,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,37.22,102.04,44.79,0.00,0.00,-37.87,-37.99,-35.95,-35.95,-35.47,-33.90,-33.66,-36.07,-35.95,-36.07,-36.19,-35.23,-42.86,-47.69,-48.50,-47.45,-36.31,-35.95,-35.83,-34.75,-32.45,-31.61,-33.30,-18.82,-21.43,-2.97,-13.30,-43.22,-47.34,-48.74,-44.28,-35.83,-34.87,-34.15,-33.30,-34.87,-33.54,-34.99,-33.30,281.32,280.66,-18.20,11.03,6.80,280.66,280.44,280.44,280.88
2021/05/25 16:00:06.929498 ,0,359737,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,37.10,102.09,47.11,0.00,0.00,-37.63,-37.99,-36.07,-36.07,-35.59,-33.78,-33.30,-36.07,-35.95,-35.95,-35.95,-35.35,-43.10,-47.92,-48.62,-47.34,-36.55,-36.31,-35.83,-34.39,-32.33,-31.48,-33.54,-19.07,-21.18,-2.97,-13.56,-43.45,-46.87,-48.50,-43.81,-35.71,-34.87,-34.15,-33.06,-34.51,-33.78,-35.23,-33.54,281.54,280.44,-18.45,11.16,6.93,280.88,280.66,280.22,280.66
2021/05/25 16:00:08.520210 ,181,359738,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.13,0.00,36.49,102.12,44.67,0.00,0.00,-37.87,-37.99,-36.07,-36.07,-35.47,-33.78,-33.66,-36.19,-35.95,-36.07,-36.19,-35.23,-42.86,-47.69,-48.62,-47.57,-36.31,-36.19,-35.83,-34.75,-32.58,-31.48,-33.54,-18.95,-21.18,-2.72,-13.30,-43.34,-47.10,-48.62,-44.04,-35.59,-35.23,-34.63,-33.30,-34.51,-33.42,-35.11,-33.78,281.10,280.66,-18.45,10.50,6.66,280.66,280.88,280.88,280.66
2021/05/25 16:00:10.004258 ,0,359740,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,37.71,102.07,45.65,0.00,0.00,-37.99,-38.11,-36.07,-35.95,-35.35,-33.78,-33.78,-36.31,-35.95,-36.07,-36.07,-35.35,-42.98,-47.92,-48.50,-47.57,-36.43,-36.19,-35.95,-34.63,-32.45,-31.48,-33.78,-18.95,-21.18,-2.85,-13.30,-43.45,-46.63,-48.74,-43.93,-35.59,-35.23,-34.51,-33.06,-34.51,-33.54,-35.23,-33.42,281.10,280.66,-18.70,10.76,6.66,280.88,280.88,280.88,280.66
2021/05/25 16:00:11.515540 ,181,359741,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,36.74,102.15,45.40,0.00,0.00,-37.75,-37.99,-36.07,-36.19,-35.47,-33.78,-33.54,-36.07,-35.83,-35.95,-35.95,-35.11,-42.98,-47.92,-48.62,-47.34,-36.55,-36.19,-35.83,-34.51,-32.45,-31.73,-33.90,-19.07,-21.06,-2.85,-13.43,-43.45,-46.51,-48.62,-44.04,-35.71,-35.11,-34.51,-33.18,-34.75,-33.66,-35.23,-33.66,281.32,280.44,-18.45,11.03,6.80,280.88,280.66,280.44,280.88
2021/05/25 16:00:12.981633 ,0,359743,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,37.71,102.09,47.60,0.00,0.00,-37.87,-37.99,-35.95,-36.07,-35.47,-34.02,-33.78,-36.19,-36.07,-35.95,-36.07,-35.35,-42.98,-47.92,-48.62,-47.45,-36.67,-36.31,-35.83,-34.51,-32.45,-31.48,-34.02,-19.32,-21.18,-2.97,-13.30,-43.45,-46.28,-48.50,-43.93,-35.71,-34.99,-34.27,-33.06,-34.87,-34.39,-35.35,-33.66,281.54,280.22,-18.57,11.16,6.93,280.88,280.66,280.44,280.44
2021/05/25 16:00:14.521103 ,181,359744,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,36.61,102.09,44.55,0.00,0.00,-37.87,-37.99,-36.07,-36.07,-35.47,-34.02,-33.78,-36.19,-36.07,-36.19,-36.19,-35.23,-42.86,-47.80,-48.62,-47.57,-36.43,-36.19,-35.95,-34.75,-32.58,-31.48,-33.78,-18.82,-21.18,-2.72,-13.05,-43.45,-46.51,-48.74,-44.04,-35.71,-35.11,-34.51,-33.18,-34.75,-33.54,-35.23,-33.78,281.10,280.88,-18.70,10.63,6.53,280.66,280.88,280.88,280.66
