time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/05/04 16:00:00.729444 ,0,18436,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,34.05,101.39,47.36,0.00,0.00,-53.15,-49.32,-49.79,-51.65,-47.45,-43.10,-42.03,-47.22,-50.14,-50.83,-11.03,-18.70,-56.26,-61.29,-61.63,-57.52,-52.23,-51.88,-51.88,-49.09,-46.75,-44.40,-17.82,-7.59,-13.30,6.93,-19.07,-57.64,-61.51,-61.97,-59.58,-51.53,-49.90,-48.85,-45.81,-46.63,-49.32,-51.18,-49.79,280.88,280.66,280.44,280.22,280.44,280.66,280.66,280.66,280.66
2021/05/04 16:00:01.722747 ,0,18437,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,35.39,101.27,46.75,0.00,0.00,-53.38,-49.44,-49.90,-51.65,-47.10,-42.98,-41.92,-47.22,-50.14,-51.42,-11.16,-18.70,-56.03,-61.17,-61.63,-57.75,-52.11,-51.42,-51.88,-49.09,-46.51,-44.04,-17.32,-7.59,-13.30,7.06,-19.07,-57.98,-61.74,-62.08,-58.90,-51.30,-50.14,-48.85,-46.04,-47.10,-49.32,-51.30,-49.55,280.88,280.22,280.22,280.22,280.22,280.88,280.66,280.44,280.22
2021/05/04 16:00:02.727745 ,0,18438,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,34.05,101.33,47.60,0.00,0.00,-53.04,-49.20,-50.49,-51.88,-47.92,-43.22,-41.44,-46.98,-50.02,-50.60,-10.90,-18.70,-56.26,-61.40,-61.63,-57.64,-52.34,-51.53,-51.65,-48.50,-46.28,-44.04,-17.95,-7.72,-13.43,6.93,-19.57,-58.10,-61.29,-61.85,-58.67,-51.42,-49.55,-48.85,-46.51,-48.15,-49.44,-51.07,-49.67,281.10,280.22,280.66,280.44,280.22,280.22,280.44,280.22,280.66
2021/05/04 16:00:03.741621 ,0,18439,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,36.13,101.33,47.11,0.00,0.00,-53.38,-49.55,-50.37,-51.53,-48.15,-44.63,-43.57,-46.87,-49.90,-50.83,-11.28,-18.70,-55.92,-60.83,-61.51,-57.98,-52.00,-51.18,-51.65,-48.62,-46.40,-43.57,-17.32,-7.47,-13.43,7.06,-19.44,-58.21,-61.51,-61.97,-58.67,-51.18,-49.90,-49.20,-46.51,-47.92,-49.44,-51.07,-49.79,280.88,280.22,280.44,280.22,280.44,280.66,280.44,280.22,280.44
2021/05/04 16:00:04.738726 ,0,18440,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,36.49,101.19,47.72,0.00,0.00,-53.15,-50.02,-50.49,-51.53,-49.09,-45.69,-44.87,-46.87,-49.90,-50.60,-11.03,-18.45,-55.92,-60.72,-61.51,-57.98,-52.23,-51.30,-51.42,-48.27,-45.81,-43.34,-17.20,-7.59,-13.30,6.93,-19.69,-58.21,-61.40,-61.85,-58.90,-51.18,-49.79,-48.85,-46.63,-48.27,-49.44,-50.95,-49.67,281.10,280.22,280.44,280.44,279.79,280.66,280.44,280.22,280.44
2021/05/04 16:00:05.744954 ,0,18441,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,34.05,101.36,47.48,0.00,0.00,-53.15,-49.90,-50.37,-51.42,-50.14,-46.63,-46.28,-47.10,-49.90,-50.72,-10.90,-18.45,-55.80,-60.61,-61.51,-58.10,-52.23,-51.53,-51.42,-48.04,-45.57,-43.10,-17.20,-7.72,-13.18,6.93,-20.07,-58.33,-61.51,-61.85,-58.33,-51.18,-49.90,-49.09,-47.10,-48.62,-49.55,-51.07,-49.67,281.10,280.44,280.44,280.44,280.44,280.66,280.22,279.35,280.44
2021/05/04 16:00:06.756774 ,0,18442,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,34.54,101.33,46.38,0.00,0.00,-53.15,-50.25,-50.25,-51.30,-49.79,-46.98,-46.75,-48.15,-49.79,-50.60,-10.90,-18.32,-55.69,-60.49,-61.51,-58.10,-52.11,-51.42,-51.18,-47.80,-45.46,-42.86,-16.82,-7.59,-13.43,7.06,-19.94,-58.21,-61.51,-61.85,-58.67,-51.53,-50.14,-49.55,-47.45,-48.62,-49.44,-50.83,-49.67,280.88,280.44,280.44,280.22,280.22,279.79,280.66,280.44,280.44
2021/05/04 16:00:07.751087 ,0,18443,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,35.27,101.33,47.11,0.00,0.00,-53.15,-50.49,-50.37,-51.18,-49.79,-47.22,-47.22,-49.09,-49.79,-50.60,-11.03,-18.45,-55.69,-60.26,-61.40,-57.98,-52.11,-51.30,-51.07,-47.57,-45.34,-42.63,-16.82,-7.47,-13.43,7.06,-20.07,-58.10,-61.17,-61.85,-58.90,-51.30,-50.02,-49.55,-47.57,-48.74,-49.32,-50.83,-49.67,281.10,280.66,281.10,280.44,280.01,280.44,280.44,280.66,280.66
2021/05/04 16:00:08.774033 ,0,18444,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,35.76,101.33,47.72,0.00,0.00,-53.15,-50.49,-50.49,-51.30,-50.14,-47.45,-47.34,-49.44,-49.79,-50.49,-10.78,-18.20,-55.69,-60.26,-61.51,-58.21,-52.23,-51.42,-50.83,-47.34,-44.87,-42.39,-16.70,-7.72,-13.30,7.06,-20.31,-57.87,-61.29,-61.74,-59.01,-51.53,-49.90,-49.44,-47.57,-49.09,-49.55,-50.83,-49.44,281.10,280.22,280.44,280.44,280.44,279.13,280.22,280.44,280.66
2021/05/04 16:00:09.777547 ,0,18445,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,35.15,101.39,47.36,0.00,0.00,-53.04,-50.60,-50.60,-51.42,-50.37,-47.69,-47.69,-49.90,-49.55,-50.37,-10.78,-18.20,-55.80,-60.38,-61.40,-58.10,-52.34,-51.42,-50.60,-47.10,-44.75,-42.74,-16.70,-7.59,-13.18,6.80,-20.31,-57.75,-61.17,-61.85,-59.12,-51.53,-49.90,-49.67,-47.80,-49.09,-49.44,-50.72,-49.55,281.10,280.66,280.66,280.44,280.22,280.44,280.44,280.66,280.66
2021/05/04 16:00:10.763966 ,0,18446,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,34.66,101.27,47.11,0.00,0.00,-53.27,-50.83,-50.49,-51.18,-50.49,-48.04,-48.15,-50.25,-49.67,-50.60,-10.90,-18.07,-55.46,-60.04,-61.40,-58.33,-52.00,-51.30,-50.72,-47.22,-44.63,-41.80,-16.20,-7.47,-13.18,7.32,-20.31,-57.75,-61.51,-61.97,-59.12,-51.07,-50.25,-49.55,-47.45,-48.74,-49.44,-50.83,-49.79,280.88,279.35,280.01,280.22,280.22,280.88,280.66,280.01,280.22
2021/05/04 16:00:11.774185 ,0,18447,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,36.25,101.36,48.33,0.00,0.00,-53.15,-50.95,-50.60,-51.42,-50.60,-48.04,-48.15,-50.49,-49.44,-50.37,-10.78,-18.20,-55.80,-60.26,-61.40,-58.21,-52.11,-51.30,-50.49,-46.75,-44.40,-41.68,-16.32,-7.47,-13.43,7.06,-20.44,-57.41,-61.29,-61.74,-59.35,-51.30,-50.02,-49.67,-47.69,-49.09,-49.44,-50.60,-49.55,280.88,280.44,280.88,280.22,280.22,280.66,280.44,280.44,280.66
2021/05/04 16:00:12.793060 ,0,18448,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,36.00,101.30,48.21,0.00,0.00,-53.27,-51.07,-50.72,-51.30,-50.60,-48.39,-48.50,-50.72,-49.44,-50.49,-11.03,-18.20,-55.46,-60.26,-61.40,-58.10,-51.88,-51.30,-50.60,-46.75,-44.28,-41.44,-16.07,-7.34,-13.43,7.19,-20.19,-57.30,-61.29,-62.08,-59.47,-51.30,-50.25,-49.79,-48.04,-48.97,-49.32,-50.60,-49.79,280.66,280.44,280.66,280.01,280.22,280.66,280.88,280.66,280.44
2021/05/04 16:00:13.781163 ,0,18449,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.13,0.00,34.91,101.36,46.87,0.00,0.00,-53.04,-51.07,-51.18,-51.65,-50.95,-48.50,-48.39,-50.60,-49.32,-50.14,-10.65,-18.20,-55.92,-60.72,-61.40,-57.87,-52.00,-51.42,-50.25,-46.28,-43.93,-41.44,-16.20,-7.59,-13.56,6.93,-20.44,-57.18,-61.17,-61.74,-59.58,-51.42,-50.14,-50.02,-48.39,-49.09,-49.55,-50.49,-49.55,280.88,280.44,280.66,280.22,280.22,280.44,280.44,280.44,280.66
2021/05/04 16:00:14.802990 ,0,18450,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,35.64,101.33,46.62,0.00,0.00,-53.38,-51.18,-50.72,-51.42,-51.07,-48.74,-48.74,-50.83,-49.55,-50.60,-10.90,-18.07,-55.57,-60.61,-61.40,-58.33,-51.65,-51.42,-50.25,-46.40,-43.81,-40.97,-15.82,-7.34,-13.30,7.32,-20.07,-57.30,-61.51,-61.97,-59.69,-51.42,-50.72,-50.25,-48.15,-48.50,-49.55,-50.60,-49.79,280.88,280.22,280.22,280.01,280.22,280.88,280.66,280.44,280.44
2021/05/04 16:00:15.807928 ,0,18451,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,35.64,101.39,47.84,0.00,0.00,-53.27,-51.30,-50.72,-51.53,-50.95,-48.50,-48.39,-50.83,-49.44,-50.25,-10.90,-18.20,-55.80,-60.61,-61.40,-57.98,-51.65,-51.42,-50.02,-46.04,-43.69,-40.85,-15.82,-7.34,-13.43,7.19,-19.94,-57.18,-61.06,-61.97,-59.92,-51.65,-50.95,-50.25,-48.04,-48.62,-49.44,-50.49,-49.90,280.66,280.66,280.66,280.22,280.01,280.66,280.88,280.66,280.66
2021/05/04 16:00:16.809279 ,0,18452,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,35.76,101.24,46.50,0.00,0.00,-53.38,-51.42,-50.49,-51.53,-50.83,-48.39,-48.27,-50.60,-49.32,-50.25,-10.78,-18.07,-55.92,-60.72,-61.40,-57.75,-51.65,-51.07,-50.60,-46.16,-43.34,-40.61,-15.95,-7.34,-13.43,7.06,-19.69,-57.07,-60.95,-61.85,-60.49,-51.88,-50.95,-50.14,-47.92,-48.39,-49.55,-50.37,-49.79,280.88,280.44,280.44,280.22,279.57,280.44,280.66,280.44,280.44
2021/05/04 16:00:17.798561 ,0,18453,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.13,0.00,35.52,101.39,46.99,0.00,0.00,-53.27,-51.53,-50.49,-51.88,-50.60,-48.04,-47.92,-50.49,-49.09,-50.14,-10.65,-18.20,-56.15,-60.83,-61.29,-57.52,-51.65,-51.30,-51.07,-46.40,-43.22,-40.49,-16.07,-7.34,-13.56,6.93,-19.57,-56.72,-60.61,-61.74,-60.04,-52.00,-50.83,-50.72,-47.80,-48.27,-49.55,-50.37,-49.67,280.88,280.88,280.66,280.44,280.22,280.44,280.44,280.66,280.88
