time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/06/09 17:00:00.642736 ,64,103264,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,37.47,101.58,47.11,0.00,0.00,11.29,-9.63,-8.10,0.26,7.85,9.83,10.23,10.36,10.36,10.63,12.22,13.29,12.89,12.76,12.49,9.17,-4.78,-2.20,10.10,10.23,10.10,10.10,9.96,10.10,10.76,14.76,13.29,12.09,12.22,12.36,10.36,9.83,10.23,10.50,10.50,10.89,1.56,9.83,9.96,28.06,280.66,9.70,9.17,9.04,280.66,279.57,280.66,281.10
2021/06/09 17:00:01.640549 ,64,103265,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.63,0.12,0.00,38.08,101.61,47.60,0.00,0.00,11.29,-9.63,-8.10,0.13,7.85,9.70,10.23,10.23,10.10,10.50,12.22,13.42,13.29,12.89,12.36,8.77,-4.39,-2.07,9.70,9.83,9.83,10.23,10.76,10.50,10.50,14.76,13.69,12.49,12.36,12.09,10.10,9.70,10.10,10.36,10.23,10.63,1.56,9.83,10.10,28.19,280.44,9.44,9.04,9.17,280.88,280.88,280.44,280.66
2021/06/09 17:00:02.659555 ,80,103266,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.12,0.00,37.71,101.56,48.46,0.00,0.00,11.56,-9.63,-8.23,0.13,7.85,9.70,10.23,10.50,10.10,10.50,12.36,13.42,13.02,12.89,12.36,8.64,-4.91,-2.07,9.83,9.83,9.96,10.23,10.63,10.36,10.63,14.63,13.42,12.36,12.36,12.22,10.23,9.70,10.36,10.50,10.36,10.50,1.30,9.70,9.96,28.19,280.66,9.44,9.30,9.30,280.88,280.66,280.44,280.44
2021/06/09 17:00:03.671146 ,96,103267,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,38.81,101.61,47.48,0.00,0.00,11.42,-9.76,-8.36,0.39,8.25,9.70,10.23,10.23,10.36,10.63,12.22,13.29,12.89,12.76,12.49,8.91,-4.65,-2.20,10.10,10.23,10.10,10.10,10.36,10.10,10.63,14.63,13.42,12.22,12.22,12.22,10.36,9.83,10.23,10.36,10.36,10.63,1.56,9.83,9.96,28.06,280.66,9.70,9.30,9.04,280.66,280.44,280.66,280.88
2021/06/09 17:00:04.775676 ,0,103269,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,38.69,101.64,46.87,0.00,0.00,11.16,-9.89,-8.36,0.39,8.25,9.96,10.23,10.23,10.36,10.76,12.09,12.89,12.76,12.76,12.62,9.17,-4.65,-2.07,10.10,10.23,9.96,10.10,10.36,10.23,10.63,14.63,13.29,12.36,12.49,12.36,10.23,9.83,10.36,10.50,9.83,10.63,1.43,9.70,9.96,28.19,280.66,9.57,9.17,9.17,281.10,280.88,280.66,280.66
2021/06/09 17:00:05.775412 ,0,103270,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,38.20,101.61,48.58,0.00,0.00,11.42,-9.76,-8.36,0.26,7.98,9.83,10.63,10.36,10.23,10.63,12.36,13.42,12.76,12.62,12.36,9.04,-4.65,-2.33,9.96,10.10,10.23,10.23,10.50,10.10,10.76,14.76,13.42,12.22,12.22,12.36,10.36,9.96,10.10,10.50,10.50,10.76,1.56,9.83,9.96,28.06,280.88,9.57,9.04,9.04,280.88,280.66,280.66,280.88
2021/06/09 17:00:06.775439 ,0,103271,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,39.06,101.58,47.36,0.00,0.00,11.42,-9.89,-8.36,0.26,8.11,9.96,10.23,10.23,10.36,10.63,12.09,13.29,12.76,12.89,12.62,8.91,-4.52,-2.07,10.10,9.96,9.96,10.10,10.50,10.23,10.63,14.63,13.42,12.36,12.36,12.09,10.23,9.83,10.23,9.83,10.36,10.76,1.56,9.83,9.96,28.06,280.66,9.44,9.04,9.04,280.66,280.88,280.88,280.88
2021/06/09 17:00:07.775468 ,0,103272,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,37.35,101.64,46.87,0.00,0.00,11.29,-9.89,-8.23,0.39,8.25,9.83,10.36,10.36,10.23,10.63,12.36,13.56,12.89,12.76,12.22,8.64,-4.52,-2.20,9.83,9.96,10.10,10.36,10.63,10.10,10.76,14.89,13.56,12.49,12.09,11.96,10.36,9.96,10.10,10.36,10.36,10.76,1.56,9.44,9.83,27.92,280.88,9.57,9.04,9.04,280.88,280.88,280.88,280.88
2021/06/09 17:00:08.775284 ,0,103273,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,38.32,101.61,47.48,0.00,0.00,11.29,-9.76,-8.36,0.39,8.38,9.96,10.36,10.36,10.50,10.76,12.36,13.29,12.49,12.76,12.49,8.77,-4.78,-2.20,10.10,10.23,10.23,10.23,10.50,10.10,10.63,15.03,13.42,12.22,12.22,12.22,10.23,9.70,10.23,10.36,10.36,10.10,1.56,9.96,10.23,28.19,280.44,9.70,9.30,9.30,280.88,280.22,280.44,280.88
2021/06/09 17:00:09.775034 ,0,103274,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,38.08,101.58,48.33,0.00,0.00,11.42,-9.63,-8.36,0.13,8.11,9.83,10.50,10.63,10.10,10.63,12.36,13.56,12.89,12.76,12.36,8.77,-4.52,-2.20,9.83,10.23,9.96,10.23,10.63,10.23,10.63,14.76,13.56,12.36,12.36,12.22,10.23,9.70,10.36,10.36,10.36,10.36,1.43,9.83,10.10,28.19,280.66,9.70,9.57,9.30,280.66,280.66,280.66,280.66
