time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/06/09 21:00:01.157969 ,0,117663,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,37.71,101.75,47.84,0.00,0.00,14.36,-0.52,4.30,8.25,9.44,13.42,13.96,14.09,13.82,14.22,20.01,19.33,17.71,17.04,16.37,14.76,6.40,7.32,13.96,14.09,15.03,15.70,17.31,15.16,15.96,19.06,18.12,16.50,16.23,15.96,14.49,13.82,14.22,15.70,17.17,17.31,8.25,13.96,14.22,28.06,280.88,15.96,16.23,16.10,280.88,280.88,280.88,281.32
2021/06/09 21:00:02.704859 ,181,117664,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,38.20,101.75,46.99,0.00,0.00,14.22,-0.78,4.30,8.38,9.57,13.56,14.09,13.96,14.09,14.63,20.01,18.93,17.31,16.77,16.37,15.03,6.14,7.32,14.09,14.22,15.16,15.56,17.17,15.03,15.83,18.93,17.98,16.64,16.23,16.23,14.49,13.69,14.49,15.83,16.91,17.04,8.11,13.82,14.36,28.33,280.44,15.96,16.50,16.37,281.10,280.88,280.66,280.66
2021/06/09 21:00:04.152993 ,0,117666,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.12,0.00,36.86,101.75,46.38,0.00,0.00,14.36,-0.65,4.17,8.25,9.44,13.56,14.22,14.09,13.96,14.49,20.14,19.20,17.31,16.77,16.10,14.89,6.27,7.19,13.82,13.96,15.16,15.70,17.17,15.03,15.83,19.33,18.12,16.77,16.37,15.96,14.36,13.56,14.49,15.70,16.64,16.77,8.11,14.09,14.49,28.47,280.44,16.10,16.64,16.37,280.88,280.01,280.44,280.66
2021/06/09 21:00:05.576158 ,181,117667,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,36.98,101.75,47.11,0.00,0.00,13.96,-0.78,4.30,8.38,9.70,13.56,14.09,14.09,13.96,14.49,20.01,19.20,17.44,16.77,16.23,14.89,6.27,7.19,13.96,14.22,15.29,15.83,17.17,14.76,15.96,19.20,17.98,16.64,16.23,15.96,14.76,13.82,14.36,15.70,16.91,17.17,8.11,13.82,14.22,28.33,280.44,15.70,16.23,16.23,281.10,281.10,280.66,280.66
2021/06/09 21:00:07.164231 ,0,117669,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,38.69,101.73,47.11,0.00,0.00,13.96,-0.78,4.43,8.51,9.70,13.42,13.96,13.82,14.09,13.96,19.87,19.06,17.44,16.91,16.50,14.89,6.40,7.45,13.96,13.96,15.03,15.56,17.31,15.16,15.70,19.20,18.25,16.77,16.37,15.96,14.36,13.56,13.82,15.70,16.64,17.17,8.25,14.09,14.49,28.33,280.66,15.83,16.37,16.23,280.88,280.44,280.66,280.88
2021/06/09 21:00:08.609384 ,181,117670,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.12,0.00,37.10,101.73,47.11,0.00,0.00,14.49,-0.65,4.30,8.38,9.44,13.42,14.09,14.22,13.82,14.49,20.14,19.33,17.58,16.91,16.10,14.63,6.27,7.19,13.82,14.09,15.16,15.83,17.44,14.63,15.96,19.20,18.25,16.64,16.10,15.83,14.36,13.82,14.22,15.56,16.77,17.17,8.51,14.09,14.36,28.19,280.66,15.96,16.37,16.23,280.88,280.66,281.10,280.88
2021/06/09 21:00:10.185955 ,0,117672,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,38.69,101.73,48.70,0.00,0.00,14.22,-0.65,4.43,8.38,9.57,13.42,13.96,14.09,13.96,14.49,19.87,19.06,17.44,16.91,16.23,14.89,6.27,7.19,13.96,14.22,15.29,15.70,17.17,14.89,15.96,19.20,17.98,16.50,16.10,15.96,14.76,13.96,14.22,15.70,16.91,17.31,8.25,13.96,14.22,28.19,280.88,15.96,16.23,16.10,280.88,280.66,280.66,281.10
2021/06/09 21:00:11.601173 ,181,117673,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.12,0.00,37.47,101.81,46.14,0.00,0.00,13.56,-0.91,4.30,8.51,9.83,13.56,13.96,13.82,14.22,14.49,19.60,19.06,17.31,16.91,16.37,15.03,6.27,7.32,13.96,14.09,15.16,15.83,17.31,15.03,15.83,19.20,18.25,16.77,16.10,15.83,14.22,13.69,14.22,15.03,16.64,17.04,8.38,14.22,14.49,28.19,280.88,16.23,16.50,16.23,280.88,280.44,280.44,280.88
2021/06/09 21:00:13.197423 ,0,117675,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.13,0.00,37.22,101.70,48.09,0.00,0.00,14.22,-0.78,4.30,8.25,9.30,13.42,14.22,14.09,13.82,14.49,20.14,19.33,17.44,16.77,16.10,14.76,6.40,7.06,13.69,13.96,15.16,15.96,17.44,15.03,15.96,19.33,18.25,16.10,16.10,15.70,14.36,13.82,14.22,15.56,16.77,17.17,8.25,14.09,14.36,28.19,281.32,16.10,16.50,16.37,280.66,280.66,280.66,280.88
2021/06/09 21:00:14.610646 ,181,117676,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.62,0.12,0.00,38.57,101.70,46.99,0.00,0.00,14.09,-0.65,4.30,8.38,9.57,13.56,13.96,13.96,14.09,14.49,19.87,19.06,17.44,16.91,16.50,14.89,6.27,7.45,14.09,14.09,15.03,15.56,17.17,15.03,15.70,18.93,17.98,16.77,16.37,16.10,14.49,13.69,14.49,15.70,16.77,17.04,8.11,13.82,14.36,28.19,280.66,15.96,16.37,16.23,280.88,280.88,280.88,281.10
2021/06/09 21:00:16.217216 ,0,117678,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,37.10,101.78,46.01,0.00,0.00,14.09,-0.91,4.04,8.38,9.70,13.56,14.09,13.96,14.09,14.63,20.01,19.06,17.31,16.77,16.37,14.89,6.27,7.32,14.09,14.22,15.16,15.56,17.17,15.03,15.83,18.39,17.98,16.64,16.37,16.10,14.36,13.56,14.49,15.83,16.64,16.91,7.98,13.96,14.49,28.47,280.44,15.96,16.50,16.37,280.88,280.66,280.44,280.66
2021/06/09 21:00:17.659382 ,181,117679,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,37.84,101.75,46.26,0.00,0.00,13.96,-0.78,4.30,8.64,9.70,13.42,13.82,13.82,13.96,14.36,19.87,19.06,17.44,16.91,16.50,14.89,6.40,7.45,14.09,13.96,15.03,15.56,17.17,15.16,15.70,19.06,18.12,16.77,16.23,15.96,14.36,13.69,14.22,15.70,16.77,17.17,8.25,14.09,14.36,28.19,280.44,15.96,15.83,16.23,281.10,280.66,280.66,280.88
