time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/07/16 17:00:00.220493 ,0,772900,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.59,0.13,0.00,38.69,101.58,47.97,0.00,0.00,-36.31,-65.35,-60.04,-52.23,-44.16,-42.27,-41.08,-40.85,-41.68,-41.68,-40.13,-40.97,-88.47,-74.26,-70.72,-69.50,-59.01,-40.97,-40.97,-39.54,-35.35,-39.54,-33.78,-40.37,-40.73,-40.73,-42.51,-87.72,-74.70,-70.50,-67.15,-38.58,-38.35,-38.58,-37.51,-38.23,-36.67,-36.43,-35.59,-35.59,280.66,-14.06,-8.49,-26.24,280.88,281.10,280.88,26.68
2021/07/16 17:00:01.208834 ,0,772901,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.63,0.13,0.00,38.81,101.67,46.87,0.00,0.00,-36.31,-65.35,-60.38,-52.34,-44.04,-42.15,-40.97,-40.73,-41.68,-41.44,-39.90,-40.85,-88.58,-74.37,-70.83,-69.50,-59.01,-41.08,-41.08,-40.01,-35.35,-39.54,-33.54,-40.25,-40.85,-40.61,-42.27,-87.61,-74.48,-70.61,-67.37,-38.82,-38.82,-38.70,-37.87,-38.47,-36.55,-36.07,-35.35,-35.35,280.66,-13.43,-8.23,-26.24,280.88,281.10,280.44,26.55
2021/07/16 17:00:02.208900 ,0,772902,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.63,0.13,0.00,37.59,101.67,46.87,0.00,0.00,-36.07,-65.24,-60.49,-52.57,-44.16,-42.03,-40.73,-40.49,-41.56,-41.44,-39.90,-40.73,-88.58,-74.37,-70.94,-69.39,-59.12,-41.08,-41.08,-39.54,-35.23,-39.66,-33.66,-40.37,-40.97,-40.85,-42.51,-87.72,-74.04,-70.39,-67.26,-38.70,-38.11,-38.58,-37.75,-38.58,-36.79,-36.31,-35.23,-35.23,280.66,-13.30,-8.10,-26.12,281.76,280.66,280.44,26.68
2021/07/16 17:00:03.198889 ,0,772903,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.60,0.13,0.00,38.08,101.56,48.33,0.00,0.00,-36.43,-65.35,-60.15,-52.34,-44.04,-42.15,-40.85,-40.73,-41.56,-41.44,-39.90,-40.61,-88.68,-74.48,-70.83,-69.39,-59.12,-41.20,-41.08,-39.54,-35.11,-39.42,-33.66,-40.49,-40.73,-40.73,-42.39,-87.72,-74.59,-70.50,-67.15,-38.58,-38.47,-38.70,-37.51,-38.35,-36.55,-36.31,-35.35,-35.47,281.10,-13.30,-8.23,-26.12,280.88,280.66,280.66,26.55
2021/07/16 17:00:04.198902 ,0,772904,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.59,0.13,0.00,37.96,101.56,47.36,0.00,0.00,-36.43,-65.35,-60.15,-52.23,-44.04,-42.15,-40.97,-40.73,-41.56,-41.44,-40.01,-40.73,-88.68,-74.48,-70.83,-69.39,-59.12,-41.20,-41.08,-39.66,-35.11,-39.30,-33.66,-40.49,-40.61,-40.61,-42.27,-87.83,-74.48,-70.50,-67.15,-38.58,-38.47,-38.70,-37.75,-38.47,-36.67,-36.67,-35.35,-35.47,281.32,-13.43,-8.23,-26.12,281.10,280.66,280.44,26.55
2021/07/16 17:00:05.208912 ,0,772905,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.60,0.13,0.00,39.42,101.61,47.72,0.00,0.00,-36.43,-65.35,-60.26,-52.34,-43.93,-42.15,-40.85,-40.49,-41.44,-41.44,-40.13,-40.85,-88.79,-74.26,-70.72,-69.16,-59.12,-40.85,-40.73,-39.42,-34.99,-39.66,-33.78,-40.37,-40.85,-40.85,-42.51,-87.83,-74.37,-70.39,-67.15,-38.70,-38.35,-38.94,-37.75,-38.35,-36.55,-36.19,-35.47,-35.47,280.88,-13.30,-8.36,-26.36,280.66,280.88,280.66,26.96
2021/07/16 17:00:06.198923 ,0,772906,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.61,0.13,0.00,38.20,101.58,46.62,0.00,0.00,-36.43,-65.24,-60.38,-52.34,-44.04,-42.27,-41.32,-40.49,-41.56,-41.56,-40.01,-40.73,-88.47,-74.26,-70.83,-69.39,-58.90,-40.85,-40.97,-39.66,-35.35,-39.54,-33.66,-40.13,-40.85,-40.61,-42.27,-87.61,-74.48,-70.61,-67.37,-38.82,-38.23,-38.70,-37.75,-38.47,-36.67,-36.19,-35.35,-35.35,280.88,-13.43,-8.23,-26.24,280.88,280.66,280.66,26.68
2021/07/16 17:00:07.208936 ,0,772907,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.61,0.13,0.00,38.32,101.61,46.62,0.00,0.00,-36.55,-65.47,-60.38,-52.46,-44.04,-42.15,-41.32,-40.49,-41.44,-41.20,-39.78,-40.73,-88.68,-74.37,-70.83,-69.16,-59.12,-40.97,-40.97,-39.54,-35.23,-39.42,-33.66,-40.37,-40.73,-40.61,-42.27,-87.83,-74.59,-70.61,-67.26,-38.58,-38.47,-38.70,-37.63,-38.23,-36.43,-36.19,-35.59,-35.47,280.88,-13.43,-8.49,-26.36,280.66,281.10,281.10,26.68
2021/07/16 17:00:08.208912 ,0,772908,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.61,0.13,0.00,36.98,101.53,46.87,0.00,0.00,-36.55,-65.24,-60.26,-52.46,-44.28,-42.39,-41.08,-40.37,-41.56,-41.56,-39.90,-40.61,-88.47,-74.26,-70.83,-69.39,-58.90,-40.97,-40.85,-39.54,-35.23,-39.54,-33.66,-40.25,-40.73,-40.73,-42.39,-87.72,-74.37,-70.39,-67.15,-38.70,-38.23,-38.47,-37.51,-38.35,-36.79,-36.79,-35.47,-35.23,280.66,-13.56,-8.23,-26.12,281.10,280.88,280.66,26.41
2021/07/16 17:00:09.198959 ,0,772909,00000001,00000000,0,0,B'\XE1',B'\X01',B'\X0E',B'\X0E',B'\X12',B'\X0E',B'\XFC',0.00,-60.49,-60.04,11.62,0.13,0.00,37.35,101.70,48.46,0.00,0.00,-36.43,-65.24,-60.49,-52.57,-44.40,-42.39,-40.85,-40.13,-41.56,-41.44,-39.78,-40.73,-88.58,-74.37,-70.94,-69.27,-59.12,-40.97,-40.85,-39.30,-35.23,-39.54,-33.78,-40.37,-40.85,-40.85,-42.51,-87.93,-74.37,-70.28,-67.26,-38.94,-37.99,-38.47,-37.75,-38.58,-36.79,-36.31,-35.23,-35.11,280.44,-13.43,-8.23,-26.00,281.10,280.88,280.66,26.55
