time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/05/07 05:00:00.258722 ,181,238032,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,31.73,101.81,42.47,0.00,0.00,7.98,9.04,9.44,10.76,11.03,12.76,13.96,13.69,12.36,11.56,15.96,14.49,9.57,9.44,9.30,9.04,9.30,11.03,13.02,13.56,14.49,15.43,16.37,16.50,13.96,16.37,12.22,8.64,8.64,8.77,9.17,13.69,14.22,14.89,15.56,16.37,11.03,13.29,14.09,280.44,280.22,280.22,279.79,279.79,280.22,280.66,280.22,280.44
2021/05/07 05:00:02.253042 ,181,238034,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,32.22,101.78,41.86,0.00,0.00,7.85,8.77,9.57,11.16,11.16,12.09,13.69,13.56,12.49,11.29,15.96,14.63,9.57,9.30,9.17,9.04,9.17,11.03,13.02,13.56,14.36,15.29,16.37,16.64,13.69,16.50,12.36,8.77,8.25,8.77,9.17,13.82,14.09,14.89,15.43,16.37,11.16,13.16,14.09,280.44,280.22,280.22,279.57,279.79,280.44,280.22,280.01,280.01
2021/05/07 05:00:04.250952 ,181,238036,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,31.98,101.87,41.62,0.00,0.00,8.11,8.91,9.04,10.63,11.03,12.89,14.09,13.69,12.62,11.56,15.96,14.36,9.57,9.30,9.04,8.91,9.17,10.89,13.02,13.82,14.76,15.29,16.10,16.37,13.69,15.96,12.09,8.91,8.91,8.91,9.04,13.69,14.09,14.76,15.43,16.37,11.03,13.02,14.09,280.88,279.79,280.01,280.22,280.01,280.22,280.01,280.01,280.22
2021/05/07 05:00:06.248099 ,181,238038,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.57,0.13,0.00,30.39,101.87,41.13,0.00,0.00,8.25,8.91,9.30,10.63,11.03,12.76,13.96,13.69,12.49,11.42,15.96,14.36,9.57,9.30,9.04,8.77,9.17,10.89,12.89,13.69,14.76,15.43,16.10,16.50,13.82,16.23,12.09,8.77,8.77,8.91,9.17,13.69,14.22,14.89,15.43,16.23,11.29,13.16,14.09,280.44,280.01,279.79,280.01,280.01,280.44,280.22,280.22,280.01
2021/05/07 05:00:08.250736 ,181,238040,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.61,0.13,0.00,30.02,101.87,40.76,0.00,0.00,7.98,8.91,9.57,10.89,11.16,12.62,13.96,13.69,12.22,11.42,15.96,14.49,9.57,9.30,9.04,8.77,9.30,11.16,12.89,13.56,14.49,15.43,16.37,16.37,13.96,16.37,12.22,9.04,8.77,8.91,9.17,13.69,14.09,14.76,15.43,16.37,11.29,12.49,13.96,280.44,280.22,279.79,279.79,280.01,280.44,280.22,279.79,280.01
2021/05/07 05:00:10.251330 ,181,238042,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.58,0.13,0.00,32.34,101.78,41.86,0.00,0.00,7.85,8.64,9.57,11.03,11.16,12.62,13.82,13.69,12.36,11.42,16.10,14.36,9.57,9.44,9.30,8.77,9.17,11.16,13.16,13.56,14.36,15.29,16.50,16.64,13.69,16.37,12.36,8.91,8.64,8.77,9.17,13.69,14.22,14.89,15.29,16.64,11.29,13.29,14.09,280.44,280.22,280.01,279.79,279.79,280.22,280.22,279.79,280.22
2021/05/07 05:00:12.245146 ,181,238044,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,33.07,101.87,41.62,0.00,0.00,7.98,8.64,9.30,11.16,11.29,12.89,13.82,13.56,12.49,11.29,15.83,14.36,9.70,9.44,9.17,8.77,9.30,11.03,13.02,13.69,14.63,15.16,16.10,16.50,13.69,16.10,12.49,9.17,8.91,8.77,8.91,13.56,13.96,14.63,15.29,16.37,11.29,13.16,14.09,281.10,280.01,280.01,279.79,280.01,280.22,280.01,280.01,280.22
2021/05/07 05:00:14.246879 ,181,238046,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,31.85,101.87,40.15,0.00,0.00,7.85,8.64,9.57,11.03,11.16,12.76,13.69,13.69,12.36,11.56,15.96,14.36,9.44,9.44,9.30,9.04,9.17,11.16,13.29,13.69,14.36,15.16,16.23,16.64,13.69,16.37,12.36,8.91,8.77,8.11,9.04,13.69,14.22,14.89,15.43,16.23,11.16,13.29,14.22,280.66,280.44,280.22,280.22,279.79,280.01,280.44,280.22,280.22
2021/05/07 05:00:16.262524 ,181,238048,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.59,0.13,0.00,31.61,101.81,41.86,0.00,0.00,7.98,8.77,9.44,10.89,11.16,12.89,13.82,13.56,12.36,11.42,15.96,14.36,9.70,9.44,9.04,8.91,9.30,10.89,12.89,13.56,14.63,15.43,16.10,16.50,13.82,16.23,12.22,8.91,8.77,8.77,8.91,13.82,13.96,14.63,15.43,16.50,11.29,12.89,13.96,280.66,280.01,280.01,279.79,280.22,280.44,280.01,280.01,280.01
2021/05/07 05:00:18.251276 ,181,238050,00000000,00000000,0,0,B'\XE1',B'\X03',B'\X00',B'\X00',B'\X00',B'\X00',B'\XE2',0.00,-0.00,-0.00,11.60,0.12,0.00,32.34,101.90,41.62,0.00,0.00,8.11,8.64,8.91,10.76,11.16,13.02,14.09,13.56,12.49,11.56,15.96,14.36,9.57,9.30,9.04,9.30,9.04,10.89,13.16,13.96,14.63,15.16,15.96,16.37,13.56,15.96,12.22,9.04,8.77,8.77,9.04,13.82,14.09,14.89,15.56,16.37,10.89,12.89,14.22,281.10,279.79,280.22,280.44,280.01,280.01,280.01,280.01,280.22
